影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
报告老师！怪怪怪怪物！,九把刀,九把刀,邓育凯;蔡凡熙;陈珮骐;刘奕儿;林姵妡;赖浚程;陶柏萌;梁洳瑄;乾德门;布鲁斯;蔡昌宪;宋芸桦;柯震东;侯彦西,剧情;恐怖,台湾,汉语普通话,2017-04-23(香港电影节);2017-07-28(台湾)
抱紧他,尼尔·阿姆菲尔德,汤米·墨菲,瑞安·柯尔;克雷格·斯托特;盖·皮尔斯;杰弗里·拉什;安东尼·拉帕格利亚;莎拉·斯努克;凯瑞·福克斯;汤姆·霍布斯;克里斯·麦奎德;卡尔林·费尔法克斯;李·柯尔梅;吉娜·莱利,剧情;爱情;同性;传记,澳大利亚,英语,2015-08-27(澳大利亚)
拆弹专家,邱礼涛,邱礼涛;李敏,刘德华;姜武;宋佳;吴卓羲;姜皓文;王紫逸;黄日华;石修;廖启智;张竣杰;蔡瀚亿;张继聪;李国麟;骆应钧;尹扬明;卢惠光;何华超,动作;悬疑;犯罪,中国大陆 / 香港,汉语普通话 / 粤语,2017-04-28(中国大陆)
拉拉队员都死了,拉齐·马凯;克里斯·赛弗森,拉齐·马凯;克里斯·赛弗森,Sidney Allison;Charon R. Arnold;肖伊·阿斯塔;Sam Bean;Nicholas Bloom;汤姆·威廉姆森;迈克尔·鲍文;Shane Bowen,恐怖;奇幻,美国,英语,2013-09-05(多伦多电影节)
招魂,温子仁,查德·海斯;凯利·海斯,维拉·法米加;帕特里克·威尔森;莉莉·泰勒;朗·里维斯顿;珊莉·卡斯韦尔;哈蕾·麦克法兰;乔伊·金;麦肯吉·弗依;凯拉·迪弗;山农·库克;约翰·布罗特顿;斯特林·杰里斯;玛丽恩·盖约特;莫甘娜·布里吉尔斯;艾米·蒂普顿,悬疑;惊悚;恐怖,美国,英语 / 拉丁语,2013-06-08(马德里奇幻电影节);2013-07-19(美国)
招魂2,温子仁,凯利·海斯;查德·海斯;温子仁;大卫·约翰逊,帕特里克·威尔森;维拉·法米加;麦迪逊·沃尔夫;弗兰西丝·奥康纳;劳伦·埃斯波西托;本杰明·海格;帕特里克·麦考利;西蒙·迈克伯尼;玛利亚·多耶·肯尼迪;西蒙·德兰尼;弗朗卡·波滕特;鲍勃·阿德里安;罗宾·阿特金·唐斯;邦妮·阿伦斯;哈维尔·博泰特;斯蒂芬·考特尔;艾比·森哈;斯特林·杰里斯;约瑟夫·比沙拉;艾米丽·塔斯克;凯特·库克;山农·库克,剧情;悬疑;恐怖,美国 / 加拿大,英语,2016-06-10(美国)
拽妹黛薇儿之暑假要结束了没,Karen Disher;Guy Moore,,Rachel Anton;Brett Barsky;Corey Block,,USA,english,2000-08-27
拽妹黛薇儿要上大学了没,Karen Disher,Glenn Eichler;Peggy Nicoll,Geoffrey Arend ...  Charles 'Upchuck' Ruttheimer III (voice);Tracy Grandstaff ...  Daria Morgendorffer (voice);Rand Bridges ...  Professor Bill Woods (voice) (as H.R. Bridges),剧情;喜剧;动画,USA,english,2002-01-21
拿起枪的简,加文·欧康诺,布莱恩·达菲尔德;安东尼·塔姆巴基斯;乔尔·埃哲顿,娜塔莉·波特曼;伊万·麦克格雷格;罗德里戈·桑托罗;乔尔·埃哲顿;诺亚·艾默里奇;波伊德·霍布鲁克;亚历克斯·马内塔;托德·斯塔什维克;纳许·艾德顿,剧情;动作;西部,美国,英语,2016-01-01(德国);2016-01-29(美国)
指甲刀人魔,关智耀,陆以心;端端;游凯媛,周冬雨;张孝全;纳豆;林辰唏;蔡洁;盛朗熙;郑伊健;谢依霖;许玮甯,喜剧;爱情,中国大陆 / 香港,汉语普通话,2017-04-14(中国大陆);2017-04-11(北京电影节)
挪威野玫瑰,Vibeke Ids?e,Vibeke Ids?e,Marit Andreassen;安德斯·巴斯莫·克里斯蒂安森;科勒·康拉迪;Ulrikke Hansen D?vigen;Bernhard Arn?;Dagny Rieber Borgnes;Signe Dahl;Emilie Falch;Hedda Bjordal Foss,剧情;喜剧,挪威,挪威语,2005-01-28(挪威)
捉奸侦探,金亨俊,金亨俊,朴熙顺;朱相昱;朴诗妍;李光洙;金正泰;车秀妍,剧情;喜剧;惊悚,韩国,韩语,2012-04-11(韩国)
捉妖记,许诚毅,袁锦麟,白百何;井柏然;姜武;金燕玲;钟汉良;曾志伟;吴君如;汤唯;姚晨;闫妮;保剑锋;王栎鑫;郭晓东;李菁菁;田雨橙;张悦轩,喜剧;奇幻;古装,中国大陆 / 香港,汉语普通话,2015-07-16(中国大陆)
捉迷藏,刘杰,顾小白;任鹏,霍建华;秦海璐;万茜;春夏;董子健,悬疑;惊悚;犯罪,中国大陆,汉语普通话,2016-11-04(中国大陆)
捍卫者,廖希;韩平,啸杨;却却;廖希,白恩;吕星辰;赫子铭;王璐;宋撼寰;杨俊生;小林成男;冯家妹;晓凡;陈俊杰;美浓轮泰史;刘骏焘,剧情;历史;战争,中国大陆,汉语普通话,2017-09-22(中国大陆);2017-06-22(上海电影节)
捕鼠者,布兰登·克雷默,布兰登·克雷默,艾什莉·本森;马特·麦高瑞;凯丽·维诺夫;丽贝卡·纳奥米·琼斯;亚历克斯·克兰默;迈克尔·威廉·弗里曼;约翰·安德森;迪伦·查尔菲;卡尔·格洛斯曼;乔恩·巴斯;特丽·卡斯特;特德·科赫;杰森·寇勒图尔斯,剧情;惊悚;恐怖,美国,英语,2015-01-24(斯兰丹斯电影节);2016-02-12(美国)
换季期,李东恩,李东恩,裴宗玉;李源根;池允浩;朴元尚;徐正妍;禹志贤;金子英;白智媛;金艺恩;米锡,剧情;同性;家庭,韩国,韩语,2016-10-09(釜山电影节);2018-02-22(韩国)
换屋惊魂,Frédéric Schoendoerffer,Frédéric Schoendoerffer;Jean-Christophe Grangé,卡琳·瓦纳斯;埃里克·坎通纳;Mehdi Nebbou;奥雷利安·雷克因;Maxim Roy,动作;悬疑;惊悚;犯罪,法国,法语,2011-07-13(法国)
换爱大冒险,米格尔·芒奇-法尔斯,米格尔·芒奇-法尔斯,马丁·巴赫;米勒·迪内森;拉斯马斯·伯托夫特;特丽丝·丹斯卡尔德;丹·扎赫勒;莉斯贝思·伍尔夫;乔治·凯特;娜塔莉·玛杜诺;碧尔特·诺伊曼;莫滕·赫布斯加德;卡尔·埃里克·佛肯托普;皮尔·艾格霍姆;埃米尔·伯克·哈特曼,喜剧;爱情;情色,丹麦,丹麦语,2016-09-22(丹麦)
捷德奥特曼 剧场版：连接吧！心愿！！,坂本浩一,根元歳三;安達寛高,滨田龙臣;山本千寻;长谷川真优;小泽雄太;本仮屋唯佳;青柳尊哉;石黑英雄;小西克幸;三森铃子;潘惠美;浅沼晋太郎;宫野真守;绿川光;神谷浩史;关智一;入野自由;田中秀幸;池田昌子;西冈德马,动作;科幻;动画,日本,日语,2018-03-10(日本)
掠夺者,史蒂芬·C·米勒,迈克尔·科迪;克里斯·赛弗森,布鲁斯·威利斯;克里斯托弗·米洛尼;戴夫·巴蒂斯塔;艾德里安·格尼尔;特夏斯·巴特尔;塔拉·霍尔特,动作;犯罪,加拿大 / 美国,英语,2016-12-23(中国大陆);2016-07-01(美国)
掠杀者,Brian O'Malley,Fiona Watson;David Cairns,利亚姆·坎宁安;宝拉雅娜·麦金托什;汉娜·斯坦布里奇;布莱恩·拉金;尼尔·格雷格·富尔顿;道格拉斯·拉塞尔;乔纳森·沃森;布莱恩·威纳尔,动作;惊悚;恐怖,英国 / 爱尔兰,英语,2014-06-19(爱丁堡电影节)
探灵档案,彭发,彭发;李永勤,马浴柯;吴昕;潘粤明;王景春;莫小棋;朱雨辰;洪天明;陈国坤,悬疑;惊悚,中国大陆,汉语普通话,2015-10-23(中国大陆)
探访惊魂,M·奈特·沙马兰,M·奈特·沙马兰,奥利维亚·德容格;艾德·奥克森博尔德;凯瑟琳·哈恩;狄安娜·杜纳甘;皮特·麦克罗比;西莉亚·基南-博尔格;塞缪尔·斯特雷肯;帕奇·德拉奇;豪尔赫·科尔多瓦;本杰明·凯恩;欧森·詹姆斯;希姆斯·莫罗尼,惊悚;恐怖,美国,英语,2015-09-11(美国)
探险队的荣光,山本透,徳尾浩司;金沢达也;山本透;荒木源,藤原龙也;中山裕介;小泽征悦;田中要次;川村阳介;佐野雏子;冈安章介,喜剧,日本,日语,2015-10-16(日本)
控制,毕国智,毕国智,吴彦祖;姚晨;任达华;戴立忍;安以轩;邵兵;惠英红;冯嘉怡;郝柏杰;王馨平;孙佳君,动作;科幻;悬疑;犯罪,香港 / 中国大陆,汉语普通话 / 粤语,2013-11-22(中国大陆)
推拿,娄烨,马英力;毕飞宇,郭晓东;秦昊;张磊;梅婷;黄轩;黄璐;黄军军;姜丹;穆怀鹏,剧情,中国大陆 / 法国,汉语普通话,2014-11-28(中国大陆);2014-02-10(柏林电影节)
推理笔记,张天辉,张天辉,陈都灵;林柏宏;汪铎;郝劭文;金士杰;王刚,剧情;悬疑,中国大陆,汉语普通话,2017-11-24(中国大陆)
推理要在晚餐后 电影版,土方政人,黒岩勉,樱井翔;北川景子;椎名桔平;中村雅俊;樱庭奈奈美;要润;鹿贺丈史;黑谷友香;甲本雅裕;大仓孝二;儿岛一哉;村川绘梨;团时郎;六角精儿;田中要次;伊东四朗;生濑胜久;竹中直人;宫泽理惠,悬疑,日本,日语,2013-08-03(日本)
推销员,阿斯哈·法哈蒂,阿斯哈·法哈蒂,沙哈布·侯赛尼;塔拉内·阿里多斯蒂;巴巴克·卡里米;法里德·萨贾蒂·侯赛尼;米娜·沙达蒂,剧情;悬疑;家庭,伊朗 / 法国,波斯语,2016-05-21(戛纳电影节);2016-08-17(法国)
提着心吊着胆,李雨禾,李雨禾,陈玺旭;高叶;任素汐;董博;楼云飞;耿一正;曹瑞;陈春生;徐子力,剧情;喜剧;悬疑;犯罪,中国大陆,汉语普通话,2017-05-12(中国大陆);2016-06-17(上海国际电影节)
提线木偶,权英乐,,李忠秀;具智成;韩素英,惊悚;恐怖,韩国,韩语,2013-06-20
援交情缘,威尔·斯洛科姆,迈克尔·道尼格;布兰登·A·科恩,琳德西·冯塞卡;迈克尔·道尼格;汤米·杜威;布鲁斯·坎贝尔;瑞秋·雷谢夫;拉莫·威利斯;贝内塔·罗布雷多;索尼亚·瓦格尔;胡安·卡洛斯·坎图;伊克博·塞巴;迪恩·切克瓦拉;安娜·康克尔;丹·巴克达尔;乔·伯克;霍莉·李,剧情;喜剧;爱情,美国,英语,2015-06-15(洛杉矶电影节);2015-07-28(美国)
搏击之王,约翰·斯托克韦尔,迪米特里·洛戈塞蒂斯;Jim McGrath,戴夫·巴蒂斯塔;尚格·云顿;吉娜·卡拉诺;莎拉·玛卢库·莱恩;达伦·萨赫拉维;乔治·圣皮埃尔;马修斯·齐夫;山姆·麦地那;阿兰·莫西;T.J. Storm,动作,美国,英语,2016-09-02(美国)
搏击之王：反击,迪米特里·洛戈塞蒂斯,迪米特里·洛戈塞蒂斯;吉姆·麦格拉思,阿兰·莫西;克里斯多弗·兰伯特;尚格·云顿;迈克·泰森;莎拉·玛卢库·莱恩;哈弗波·朱利尔斯·比昂森;山姆·麦地那;史蒂文·斯沃德林;迈尔斯·斯托曼;湛琪清;马克西姆·萨瓦瑞亚;万德雷·席尔瓦;弗兰克·埃德加;伦佐·格雷西;雷纳托·索布拉尔;墨里西欧·鲁阿;杰姆斯·班尼特;罗纳尔迪尼奥,剧情;动作,美国,英语,2018-01-26(美国)
搜索,陈凯歌,陈凯歌;唐大年,高圆圆;姚晨;赵又廷;陈红;王学圻;王珞丹;陈燃;张译;余皑磊;张大礼;马维福;杨青;霍青;谭松韵,剧情;悬疑,中国大陆,汉语普通话,2012-07-06(中国大陆)
搞怪一家人：是个陷阱,Peter Shin,David A. Goodman,,喜剧;科幻;动画,美国,英语,2010-12-21
搭车遇狼惊魂记,伊恩·索夫特雷,金佰利·洛夫斯特罗姆·约翰逊;李·帕特森,朱莉安·浩夫;泰迪·西尔斯;佩内洛普·米契尔;马达琳·侯切尔;德鲁·劳施;库尔特·布莱恩特,惊悚;恐怖,美国,英语,2015-08-31(英国);2016-01-19(美国)
摆渡人,张嘉佳,张嘉佳;王家卫,梁朝伟;金城武;陈奕迅;杨颖;张榕容;杜鹃;熊黛林;大鹏;马苏;崔志佳;贾玲;李宇春;鹿晗;欧弟;纳豆;金士杰;柯佳嬿;李灿森;喜翔;曹可凡;吴艺璇,喜剧;爱情,中国大陆 / 香港,汉语普通话,2016-12-23(中国大陆)
摇摆吉普赛,托尼·加列夫,托尼·加列夫,Ghania Benali;Fabienne Mai;Ben Zimet,剧情;喜剧;歌舞,法国 / 日本,法语 / 吉普赛语,2002-03-20
摇滚学徒,吉约姆·卡内,吉约姆·卡内;鲁道夫·洛加;菲利普·莱夫布瓦尔,吉约姆·卡内;玛丽昂·歌迪亚;菲利普·莱夫布瓦尔;吉尔·勒卢什;卡蜜尔·罗;凯文·亚当斯;本·福斯特;马克西姆·努齐;亚霍尔·普波;伊万·阿达勒;亚兰·阿达勒;约翰尼·哈里戴;拉蒂西亚·哈莉黛;蒂芬·米歇尔-博尔吉;法布里斯·拉米;阿诺·翁利叶,剧情;喜剧;音乐,法国,法语,2017-02-15(法国)
摇滚英雄,谭华,谭华,秦昊;李梦;刘雅瑟;都日昭日格图;马恺曼;李青云;郭伟龙;李梦晨;王辰昊;李欣冉,剧情;爱情;音乐,中国大陆,汉语普通话,2015-06-20(中国大陆)
摇滚莫扎特,奥利维埃·达昂,,米开朗琪罗·勒孔特;弗洛朗 莫特;梅丽莎·玛斯;迪亚娜·达西妮;Maeva Méline;Solal;Merwan Rim,歌舞;舞台艺术,法国,法语,
摇滚藏獒,艾什·布兰农,郑钧;艾什·布兰农;库尔特·沃尔克,郭麒麟;路知行;郭德纲;于谦;孙越;张雪凌;朱云峰;郑钧;冯小刚;刘芸;郑熙岳;小小岳,动画;音乐,中国大陆 / 美国 / 香港,英语,2016-07-08(中国大陆);2017-02-24(美国)
摔跤吧！爸爸,涅提·蒂瓦里,比于什·古普塔;施热亚·简;尼基尔·麦罗特拉;涅提·蒂瓦里,阿米尔·汗;法缇玛·萨那·纱卡;桑亚·玛荷塔;阿帕尔夏克提·库拉那;沙克希·坦沃;塞伊拉·沃西;苏哈妮·巴特纳格尔;里特维克·萨霍里;吉里什·库卡尼,剧情;家庭;传记;运动,印度,印地语,2017-05-05(中国大陆);2016-12-23(印度)
摩天大楼,本·维特利,J·G·巴拉德;艾米·江普,汤姆·希德勒斯顿;杰瑞米·艾恩斯;西耶娜·米勒;伊丽莎白·莫斯;卢克·伊万斯;斯塔西·马汀;詹姆斯·鲍弗;凯莉·霍威;西耶娜·盖尔利;恩佐·科伦蒂;彼得·费迪南多;里斯·谢尔史密斯;奥古斯图斯·珀如;莉拉·米马克,剧情;科幻;悬疑,英国 / 爱尔兰 / 比利时,英语,2015-09-13(多伦多电影节);2016-03-18(英国)
摩天楼,金志勋,金相敦,金相庆;薛耿求;孙艺珍;都枝寒;金仁权;朴哲民,剧情;动作;灾难,韩国,韩语,2012-12-25(韩国)
摩天轮,伍迪·艾伦,伍迪·艾伦,凯特·温丝莱特;贾斯汀·汀布莱克;詹姆斯·贝鲁什;朱诺·坦普尔;马克斯·凯塞拉;杰克·戈尔;大卫·克鲁霍尔特兹;罗伯特·C·柯克;汤米·诺伊利;托尼·西里科;史蒂夫·斯基里帕;约翰·多马尼安;汤姆·盖里;格雷戈瑞·丹恩;鲍比·斯雷顿;迈克尔·泽加斯基;吉内瓦·卡尔;艾德·朱厄特;黛比·玛扎;达尼埃尔·费兰;麦迪·科尔曼;雅各布·伯杰;珍娜·斯特恩;迈克尔·斯特里亚诺;约翰·麦尼尔利,剧情,美国,英语,2017-10-14(纽约电影节);2017-12-01(美国)
摩斯探长前传 试映集,柯尔姆·麦卡锡,罗素·刘易斯;柯林·德克斯特,肖恩·埃文斯;罗杰·阿拉姆;芙萝拉·蒙戈马利;理查德·林特恩;帕特里克·麦拉海德;詹姆斯·布雷肖;阿比吉尔·肖,剧情;悬疑;犯罪,英国,英语,2012-01-02
摩根,卢克·斯科特,赛斯·W·欧文,凯特·玛拉;安雅·泰勒-乔伊;露丝·莱斯利;迈克尔·耶尔;托比·琼斯;克里斯·沙利文;波伊德·霍布鲁克;雯叶特·罗宾逊;杨紫琼;布莱恩·考克斯;詹妮弗·杰森·李;保罗·吉亚玛提;克里斯皮安·贝尔弗雷奇;乔纳森·阿里斯,科幻;悬疑;惊悚,美国,英语 / 汉语普通话,2016-09-02(美国)
摩纳哥王妃,奥利维埃·达昂,阿拉什·阿梅尔,妮可·基德曼;帕斯·贝加;米洛·文堤米利亚;蒂姆·罗斯;帕克·波西;杰拉丁·萨莫维尔;德里克·雅各比;弗兰克·兰格拉;罗杰·阿什顿-格里菲斯;尼古拉斯·法瑞尔;罗伯特·林德森;奥利维尔·雷堡汀;让娜·巴利巴尔,剧情;爱情;传记,法国 / 美国 / 比利时 / 意大利 / 瑞士,英语 / 法语 / 意大利语,2014-06-20(中国大陆);2014-05-14(戛纳电影节);2015-05-25(美国)
撒娇女人最好命,彭浩翔,彭浩翔;陆以心;张优优;罗曼夫,周迅;黄晓明;隋棠;谢依霖;康晋荣,喜剧;爱情,中国大陆 / 香港,汉语普通话 / 英语,2014-11-28(中国大陆)
撒迦利亚,克雷格·卓贝,罗伯特·奥布莱恩;Nissar Modi,玛格特·罗比;克里斯·派恩;切瓦特·埃加福特,剧情;科幻;惊悚,美国 / 冰岛,英语,2015-01-24(圣丹斯电影节);2015-08-28(美国)
撤离科威特,拉加·门农,拉加·门农;瑞提什·沙阿;苏雷什·奈尔;拉胡尔·南贾,阿克谢·库玛尔;尼姆拉特·考尔,剧情;动作;历史,印度,印地语 / 阿拉伯语 / 马拉雅拉姆语,2016-01-22(印度)
撼动生命,Michael Dowse,Michael Dowse,Paul Kaye;Mike Wilmot;Beatriz Batarda,剧情;喜剧;音乐;传记,英国 / 加拿大,英语,2004-09-12(多伦多电影节)
擦枪走火,周伟,格格;古元,喻恩泰;倪虹洁;王景春;李锐;赵文琪;邱泽;曹云金;斯琴高娃;吴樾;钟思华,喜剧;爱情,中国大陆,汉语普通话,2015-12-11(中国大陆)
攻壳机动队 新剧场版,黄瀬和哉;野村和也,冲方丁;士郎正宗,坂本真绫;塾一久;松田健一郎;新垣樽助;咲野俊介;中國卓郎;上田燿司;中井和哉;泽城美雪,动作;科幻;动画,日本,日语,2015-06-20(日本)
攻壳机动队,鲁伯特·桑德斯,士郎正宗;杰米·莫斯;威廉·惠勒;伊伦·克鲁格,斯嘉丽·约翰逊;皮鲁·埃斯贝克;北野武;朱丽叶·比诺什;迈克尔·皮特;黄经汉;丹妮西娅·萨马尔;拉札勒斯·雷图勒;泉原豊;托万达·马尼莫;彼得·费迪南多;安娜玛丽亚·玛琳卡;丹尼尔·亨绍尔;安德鲁·斯特林;桃井薰;查尔斯·欧比;福岛莉拉;约瑟夫·纳瓦胡;迈克尔·维克特,动作;科幻;犯罪,美国,英语 / 日语,2017-04-07(中国大陆);2017-03-29(法国);2017-03-31(美国)
攻壳机动队SSS 3D,神山健治,士郎正宗;神山健治;菅正太郎;櫻井圭記,田中敦子;阪脩;大塚明夫;山寺宏一;仲野裕;大川透;小野塚貴志;山口太郎,动画,日本,日语,2011-03-26(日本)
攻壳机动队：崛起1,黄瀬和哉;むらた雅彦,冲方丁,坂本真绫;塾一久;松田健一郎;新垣樽助;壇臣幸;中國卓郎;上田耀司;中井和哉,科幻;动画;犯罪,日本,日语,2013-06-22(日本)
攻壳机动队：崛起2,竹内敦志;黄瀬和哉,冲方丁,坂本真綾;塾一久;松田健一郎;檀臣幸;中國卓郎;上田燿司;中井和哉;沢城みゆき,剧情;动作;科幻;动画;犯罪,日本,日语,2013-11-30(日本)
攻壳机动队：崛起3,黄瀬和哉,冲方丁,坂本真綾;塾一久;松田健一郎;新垣樽助;中國卓郎;上田燿司;中井和哉;沢城みゆき,剧情;动作;科幻;动画;悬疑;战争;犯罪;冒险,日本,日语,2014-06-28(日本)
攻壳机动队：崛起4,黄瀬和哉;工藤进,冲方丁,坂本真绫;塾一久;松田健一郎;新垣樽助;咲野俊介;中國卓郎;上田燿司;中井和哉;泽城美雪;茅野爱衣;小野贤章;浅野真弓;慶長佑香;久川绫,剧情;动作;动画;犯罪,日本,日语,2014-09-06(日本)
故乡的天空,亚当·阿金,Kimberly Willis Holt;Anna Sandor,朱丽叶特·刘易斯;Kelsey Keel;雪莉·奈特;Amelia Campbell;克里斯·欧文斯;迈克尔·塞拉;克塞尼亚·索罗,剧情,美国,英语,2001-05-13(美国)
故事的故事,马提欧·加洛尼,马提欧·加洛尼;爱德华多·阿比那蒂;乌戈·奇蒂;马西莫·高迪奥索;吉姆巴地斯达·巴西耳,萨尔玛·海耶克;文森特·卡索;托比·琼斯;约翰·C·赖利;雪莉·亨德森;海莉·卡迈克尔;碧碧·凯芙;斯塔西·马汀;克里斯蒂安·利斯;纪尧姆·德洛内;阿尔巴·罗尔瓦凯尔;卡特里内尔·马龙;乔纳·利斯;杰西·卡芙,爱情;恐怖;奇幻,意大利 / 法国 / 英国,英语 / 意大利语,2015-05-14(意大利)
敌对区域,阿道弗·马丁内斯·佩雷斯,路易斯·阿兰兹;安德烈斯·M·科佩尔,阿里亚德娜·希尔;劳尔·梅里达;罗伯托·阿拉莫;安东尼奥·加里多;英格丽·加西亚·荣松;贾格布·迪森塔;意斯梅尔·马丁内斯;纳赛尔·萨雷;玛丽亚姆·埃尔南德斯;鲁丝·加布瑞尔;尤尼斯·贝希尔;大卫·德·拉·托雷;哈维尔·博多洛;贝尔塔·埃尔南德斯;塞尔吉奥·莫莫,动作;惊悚;战争,西班牙,西班牙语,2017-03-10(西班牙)
救僵清道夫,甄栢荣;赵善恒,甄栢荣;何永航;章彥琦,钱小豪;蔡瀚亿;林明祯;吴耀汉;邵音音;袁祥仁;赵学而;黃奕晨;罗莽;曾志伟;詹瑞文;欧锦棠;赵善恒;谭杏蓝;李尚正;章彥琦;甄栢荣;余达志;何永航,喜剧;恐怖,香港,粤语 / 汉语普通话,2017-03-16(香港)
救命解药,戈尔·维宾斯基,贾斯汀·海瑟;戈尔·维宾斯基,戴恩·德哈恩;詹森·艾萨克;米娅·高斯;伊沃·南迪;阿德里安·席勒;西莉亚·伊姆里;哈里·格罗内尔;托马斯·诺尔斯特洛姆;阿肖克·曼当那;马格努斯·克雷佩;彼得·本尼迪克;米歇尔·门德尔;玛姬·斯蒂德;克雷格·威尔;大卫·毕逊斯;丽莎·贝恩斯;卡尔·卢波利,悬疑;惊悚,美国 / 德国,英语 / 德语,2016-12-10(BNAT电影节);2017-02-17(美国)
